"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 21:07:46 GMT 2024","Sat Feb 17 21:07:47 GMT 2024","60","Auth","Registration Verification","","","","Registeration Verification- Token with alphabets and special characters",""
"passed","Sat Feb 17 21:07:50 GMT 2024","Sat Feb 17 21:07:50 GMT 2024","59","Community","Get SubAdmin By Id","","","","GetSubAdminById-Invalid Auth Token",""
"passed","Sat Feb 17 21:07:48 GMT 2024","Sat Feb 17 21:07:48 GMT 2024","61","Auth","Forgot Password Verification","","","","Verify Forgot Password- Empty Channel field",""
"passed","Sat Feb 17 21:07:49 GMT 2024","Sat Feb 17 21:07:49 GMT 2024","59","Community","Get Community By community Id","","","","Get Community By community Id-No Auth Token",""
"passed","Sat Feb 17 21:07:47 GMT 2024","Sat Feb 17 21:07:47 GMT 2024","124","Auth","Login","","","","Login-Correct password and Wrong Password",""
"passed","Sat Feb 17 21:07:50 GMT 2024","Sat Feb 17 21:07:50 GMT 2024","61","Community","Create SubAdmin","","","","Create SubAdmin-Invalid Auth token",""
"passed","Sat Feb 17 21:07:46 GMT 2024","Sat Feb 17 21:07:46 GMT 2024","62","Auth","Registration Verification","","","","Registeration Verification- Empty Channel field",""
"failed","Sat Feb 17 21:07:47 GMT 2024","Sat Feb 17 21:07:47 GMT 2024","66","Auth","Login","","","","Login- Wrong channel and correct password",""
"passed","Sat Feb 17 21:07:50 GMT 2024","Sat Feb 17 21:07:50 GMT 2024","60","Community","Create SubAdmin","","","","Create SubAdmin-No Auth",""
"passed","Sat Feb 17 21:07:48 GMT 2024","Sat Feb 17 21:07:48 GMT 2024","63","Auth","Forgot Password Verification","","","","Verify Forgot Password- Empty Token field",""
"passed","Sat Feb 17 21:07:45 GMT 2024","Sat Feb 17 21:07:45 GMT 2024","76","Auth","Register","","","","Register-Empty Password Field",""
"passed","Sat Feb 17 21:07:45 GMT 2024","Sat Feb 17 21:07:46 GMT 2024","76","Auth","Register","","","","Register-Empty Date of Birth Field",""
"passed","Sat Feb 17 21:07:46 GMT 2024","Sat Feb 17 21:07:46 GMT 2024","145","Auth","Register","","","","Register-Empty Email field",""
